;word;joy;fear;sadness;anger;surprise;disgust;polarity_negative;polarity_positive
65;absorption;0;0;0;0;0;0;0;1
66;absoudre;1;0;0;0;0;0;0;1
67;abstenir;0;1;1;0;0;0;1;0
68;abstention;0;1;1;0;0;0;1;0
69;abstinence;0;1;1;0;0;0;1;0
70;abstraction;0;1;1;0;0;0;1;0
71;abstraire;0;0;0;0;0;0;0;1
72;absurde;0;0;0;1;1;1;1;0
73;absurdité;0;0;0;1;1;1;1;0
74;abuser;0;1;1;1;0;0;1;0
75;abîme;0;1;1;0;0;0;1;0
76;abîmer;0;1;1;1;0;0;1;0
77;académie;0;0;0;0;0;0;0;1
78;académique;0;0;0;0;0;0;0;1
79;accablant;0;1;1;1;0;0;1;0
80;accabler;0;1;1;1;0;0;1;0
81;accalmir;0;0;0;0;0;0;0;1
82;accentuation;0;0;0;0;0;0;0;1
83;accentuer;0;0;0;0;0;0;0;1
84;acceptable;0;0;0;0;0;0;0;1
85;acceptant;0;0;0;0;0;0;0;1
86;acceptation;0;0;0;0;0;0;0;1
87;accepter;0;0;0;0;0;0;0;1
88;accessible;0;0;0;0;0;0;0;1
89;accession;0;0;0;0;0;0;0;1
90;accessoire;0;0;0;0;0;0;1;0
91;accessoirement;0;0;0;0;0;0;1;0
92;accident;0;1;1;0;1;0;1;0
93;accident mortel;0;1;1;0;0;0;1;0
94;accident vasculaire cérébral;0;1;1;0;1;0;1;0
95;accidentel;0;1;1;0;1;0;1;0
96;accidentellement;0;1;1;0;1;0;1;0
97;accidenter;0;1;1;0;0;0;1;0
98;acclamation;1;0;0;0;0;0;0;1
99;acclamer;0;0;0;0;1;0;0;1
100;accolade;0;0;0;0;1;0;0;1
101;accommodation;0;0;0;0;0;0;0;1
102;accommoder;0;0;0;0;0;0;0;1
103;accompagnement;0;0;0;0;0;0;0;1
104;accompagner;0;0;0;0;0;0;0;1
105;accomplir;1;0;0;0;0;0;0;1
106;accomplissement;0;0;0;0;0;0;0;1
107;accord;0;0;0;0;0;0;0;1
108;accord;0;0;0;0;0;0;0;1
109;accordable;0;0;0;0;0;0;0;1
110;accorder;0;0;0;0;0;0;0;1
111;accordéon;0;0;0;0;0;0;0;1
112;accoutumer;0;0;0;0;0;0;0;1
113;accro;0;0;1;1;0;0;1;0
114;accroc;0;1;0;0;1;0;1;0
115;accrochage;0;0;0;1;0;0;1;0
116;accrocher;0;1;0;0;1;0;1;0
117;accroire;0;0;0;0;0;0;0;1
118;accroire|accroître;0;0;0;0;0;0;0;1
119;accroissement;0;0;0;0;0;0;0;1
120;accroupir;0;1;0;0;0;0;1;0
121;accroupir;0;1;0;0;0;0;1;0
122;accroupissement;0;1;0;0;0;0;1;0
123;accroître;0;0;0;0;0;0;0;1
124;accréditer;0;0;0;0;0;0;0;1
125;accueil;0;0;0;0;0;0;0;1
126;accueillir;1;0;0;0;0;0;0;1
127;accumuler;0;0;0;0;0;0;0;1
128;accusateur;0;1;0;1;0;1;1;0
129;accusatif;0;0;0;1;0;1;1;0
130;accusation;0;0;0;1;0;1;1;0
131;accuser;0;1;1;1;0;1;1;0
132;accès;0;0;0;0;0;0;0;1
133;accéder;1;0;0;0;0;0;0;1
134;accélérateur;0;0;0;1;0;0;1;0
135;accélération;0;1;0;0;0;0;0;1
136;acharner;0;1;0;1;0;1;1;0
137;achat;0;0;0;0;0;0;0;1
138;acheminer pont aérien;0;0;0;0;0;0;0;1
139;acheminer tuyau;0;0;0;0;0;0;0;1
140;acheter;0;0;0;0;0;0;0;1
141;acheteur;0;0;0;0;0;0;0;1
142;achever;0;0;0;0;0;0;0;1
143;achèvement;1;0;0;0;0;0;0;1
144;acide;0;0;0;0;0;1;1;0
145;acidité;0;0;0;0;0;1;1;0
146;acier;0;0;0;0;0;0;0;1
147;acompte;0;0;0;0;0;0;0;1
148;acouphène;0;1;1;0;0;0;1;0
149;acoustique;0;0;0;0;0;0;0;1
150;acquiescement;0;0;0;0;0;0;0;1
151;acquisition;0;0;0;0;0;0;0;1
152;acquéreur;0;0;0;0;0;0;0;1
153;acquérir;0;0;0;0;0;0;0;1
154;acrobate;0;1;0;0;0;0;0;1
155;acte;0;0;0;0;0;0;0;1
156;acte défi;0;1;0;1;0;1;1;0
157;acte délictuel;0;1;0;1;0;0;1;0
158;acte fiducie;0;0;0;1;0;0;1;0
159;actif;0;0;0;0;0;0;0;1
160;action;0;0;0;0;0;0;0;1
161;action grâce;0;0;0;0;0;0;0;1
162;actionnable;0;1;0;1;0;1;1;0
163;actionnaire;0;0;0;0;0;0;0;1
164;active;0;0;0;0;0;0;0;1
165;activité;0;0;0;0;0;0;0;1
166;activité;0;0;0;0;0;0;0;1
167;actuaire;0;0;0;0;0;0;0;1
168;actualité;0;0;0;0;0;0;0;1
169;actualité;0;0;0;0;0;0;0;1
170;actuel;0;0;0;0;1;0;0;1
171;acuité;0;0;0;0;0;0;0;1
172;acupuncture;0;0;0;0;0;0;0;1
173;acérer;0;1;0;1;0;0;1;0
174;acétique;0;0;0;0;0;1;1;0
175;adage;0;0;0;0;0;0;0;1
176;adaptabilité;0;0;0;0;0;0;0;1
177;adaptable;0;0;0;0;0;0;0;1
178;adaptation;0;0;0;0;0;0;0;1
179;adapter;0;0;0;0;0;0;0;1
180;adapter;0;0;0;0;0;0;0;1
181;addenda;0;0;0;0;0;0;0;1
182;addiction;0;1;1;0;0;0;1;0
183;additif;0;0;0;0;0;1;1;0
184;addition;0;0;0;0;0;0;0;1
185;additionnel;0;0;0;0;0;0;0;1
186;additionner;0;0;0;0;0;0;0;1
187;adepte;0;0;0;0;0;0;0;1
188;adhérence;0;0;0;0;0;0;0;1
189;adhérent;0;0;0;0;0;0;0;1
190;adhérer;0;0;0;0;0;0;0;1
191;adhérer;0;0;0;0;0;0;0;1
192;adhésif;0;0;0;0;0;1;0;1
193;adhésion;0;0;0;0;0;0;0;1
194;adieu;0;0;1;0;0;0;1;0
195;adipeux;0;0;0;0;0;1;1;0
196;adjacent;0;0;0;0;0;0;0;1
197;adjectif;0;0;0;0;0;0;0;1
198;adjectival;0;0;0;0;0;0;0;1
199;adjoindre;0;0;0;0;0;0;0;1
200;adjuvant;0;0;0;0;0;0;0;1
201;admettre;0;0;0;0;0;0;0;1
202;administrateur;0;0;0;0;0;0;0;1
203;administratif;0;0;0;0;0;0;0;1
204;administration;0;0;0;0;0;0;0;1
205;administrer;0;0;0;0;0;0;0;1
206;administrer qch qqn;0;0;0;0;0;0;0;1
207;admirable;0;0;0;0;0;0;0;1
208;admirateur;0;0;0;0;0;0;0;1
209;admiration;0;0;0;0;0;0;0;1
210;admirer;0;0;0;0;0;0;0;1
211;admissibilité;0;0;0;0;0;0;0;1
212;admissible;0;0;0;0;0;0;0;1
213;admission;0;0;0;0;0;0;0;1
214;admonition;0;1;0;1;0;0;1;0
215;adobe;0;0;0;0;0;0;0;1
216;adolescence;0;0;0;0;0;0;0;1
217;adolescent;0;0;0;0;0;0;0;1
218;adopter;0;0;0;0;0;0;0;1
219;adoption;0;0;0;0;0;0;0;1
220;adorable;0;0;1;0;1;0;0;1
221;adoration;0;1;0;0;0;0;0;1
222;adorer;0;1;0;0;0;0;0;1
223;adosser;0;0;0;0;0;0;0;1
224;adoucir;0;0;0;0;0;0;0;1
225;adoucissant;0;0;0;0;0;0;0;1
226;adoucissement;0;0;0;0;0;0;0;1
227;ado|ados;0;0;0;0;0;0;0;1
228;adresse;0;0;0;0;0;0;0;1
229;adresser;0;0;0;0;0;0;0;1
230;adroit;0;0;0;0;0;0;0;1
231;adulte;0;0;0;0;0;0;0;1
232;adultère;0;0;1;1;0;1;1;0
233;adversaire;0;1;0;1;0;1;1;0
234;adverse;0;1;0;1;0;1;1;0
235;adversité;0;1;1;1;0;0;1;0
236;adéquat;0;0;0;0;0;0;0;1
237;adéquation;0;0;0;0;0;0;0;1
238;affable;0;0;0;0;0;0;0;1
239;affaiblir;0;1;1;0;0;0;1;0
240;affaire;0;0;0;0;0;0;0;1
241;affairement;0;0;0;0;0;0;0;1
242;affaissement;0;0;1;0;0;0;1;0
243;affaisser;0;0;1;0;0;0;1;0
244;affaisés;0;0;1;0;0;0;1;0
245;affamer;0;1;1;1;0;0;1;0
246;affectation;0;0;0;0;0;0;0;1
247;affecter;0;0;1;0;0;0;1;0
248;affection;0;0;0;0;0;0;0;1
249;affectueux;0;0;0;0;0;0;0;1
250;affichage;0;0;0;0;0;0;0;1
251;affiche;0;0;0;0;1;0;0;1
252;afficher;0;0;0;0;0;0;0;1
253;affidavit;0;0;0;0;0;0;0;1
254;affiliation;0;0;0;0;0;0;0;1
255;affilier;0;0;0;0;0;0;0;1
256;affinage;0;0;0;0;0;0;0;1
257;affiner;0;0;0;0;0;0;0;1
258;affinité;0;0;0;0;0;0;0;1
259;affirmatif;0;0;0;0;0;0;0;1
260;affirmation;0;0;0;0;0;0;0;1
261;affirmative;0;0;0;0;0;0;0;1
262;affirmativement;0;0;0;0;0;0;0;1
263;affirmer;0;0;0;0;0;0;0;1
264;affixe;0;0;0;0;0;0;0;1
265;affliction;0;1;1;0;0;1;1;0
266;affliger;0;1;1;0;0;0;1;0
267;affluent;0;0;0;0;0;0;0;1
268;affluer;0;1;0;1;1;0;1;0
269;afflux;0;1;0;0;1;0;1;0
270;affolement;0;1;0;1;0;0;1;0
271;affoler;0;1;1;0;0;0;1;0
272;affreux;0;1;1;1;1;1;1;0
273;affronter;0;0;0;0;0;0;1;0
274;affréter;0;0;0;0;0;0;0;1
275;agacement;0;0;1;1;0;1;1;0
276;agacer;0;0;1;1;0;0;1;0
277;agate;0;0;0;0;0;0;0;1
278;agate;0;0;0;0;0;0;0;1
279;agence;0;0;0;0;0;0;0;1
280;agenouiller;0;0;1;0;0;0;1;0
281;agenouiller;0;0;1;0;0;0;1;0
282;agent;0;0;0;0;0;0;0;1
283;agent change;0;0;0;0;0;0;0;1
284;agent conservation;0;0;0;0;1;0;0;1
285;agent police;0;1;0;0;0;0;0;1
286;agglomération;0;0;0;0;0;0;0;1
287;agglomérer;0;0;0;0;0;0;1;0
288;aggravation;0;1;1;1;0;1;1;0
289;aggraver;0;1;1;1;0;0;1;0
290;aggressifs;0;1;0;1;0;0;1;0
291;agile;0;0;0;0;0;0;0;1
292;agilité;0;0;0;0;0;0;0;1
293;agir;0;0;0;0;0;0;0;1
294;agissements;0;0;0;0;0;0;0;1
295;agiter;0;1;0;1;0;0;1;0
296;agneau;0;0;0;0;0;0;0;1
297;agnostique;0;1;1;0;0;0;1;0
298;agonir;0;1;1;1;0;0;1;0
299;agrafe;0;0;0;0;0;0;0;1
300;agrafer;0;0;0;0;0;0;0;1
301;agrandir;0;0;0;0;0;0;1;0
302;agresseur;0;1;1;1;0;0;1;0
303;agressif;0;1;0;1;0;0;1;0
304;agression;0;1;0;1;1;0;1;0
305;agricole;0;0;0;0;0;0;0;1
306;agriculteur;0;0;0;0;0;0;0;1
307;agriculture;0;0;0;0;0;0;0;1
308;agréable;0;0;0;0;0;0;0;1
309;agrégat;0;0;0;0;0;0;1;0
310;agrégation;0;0;0;0;0;0;1;0
311;ahurir;0;0;0;0;1;0;1;0
312;ahurissant;0;0;0;0;1;0;1;0
313;aide;0;0;0;0;0;0;0;1
314;aider;0;0;0;0;0;0;0;1
315;aigle;0;0;0;0;0;0;0;1
316;aigre;0;0;0;0;0;1;1;0
317;aigu marine;0;0;0;0;0;0;0;1
318;aiguille;0;1;0;0;0;0;1;0
319;aiguiller;0;0;0;0;0;0;0;1
320;aiguillonner;0;1;0;0;0;0;0;1
321;aiguiser;0;1;0;1;0;0;0;1
322;aiguisoir;0;1;0;0;0;0;1;0
323;ail;0;0;0;0;0;1;1;0
324;aile;0;0;0;0;0;0;0;1
325;ailer;0;0;0;0;0;0;0;1
326;aileron;0;0;0;0;0;0;0;1
327;aimable;0;0;0;0;0;0;0;1
328;aimant;0;0;0;0;0;0;0;1
329;aimer;0;0;0;0;0;0;0;1
330;aimer;0;0;0;1;0;1;1;0
331;air;0;0;0;0;0;1;1;0
332;airbag;0;0;0;0;0;0;0;1
333;aire;0;0;0;0;0;0;0;1
334;aire jeu;0;0;0;0;1;0;0;1
335;aisance;1;0;0;0;0;0;0;1
336;aisé;1;0;0;0;0;0;0;1
337;aisément;0;0;0;0;0;0;0;1
338;ajournement;0;0;1;0;0;0;1;0
339;ajourner;0;0;1;0;0;0;1;0
340;ajout;0;0;0;0;0;0;0;1
341;ajouter;0;0;0;0;0;0;0;1
342;ajustage;0;0;0;0;0;0;0;1
343;ajustement;0;0;0;0;0;0;0;1
344;ajuster;0;0;0;0;0;0;0;1
345;alambiquer;0;0;0;0;0;1;1;0
346;alanguir;0;0;1;0;0;0;1;0
347;alarme;0;1;0;0;1;0;1;0
348;alarmer;0;1;0;0;1;0;1;0
349;album;0;0;0;0;0;0;0;1
350;albâtre;0;0;0;0;0;0;0;1
351;alcali;0;0;0;0;0;0;0;1
352;alcalin;0;0;0;0;0;0;0;1
353;alcaloïde;0;0;0;0;0;0;0;1
354;alchimie;0;0;0;0;0;0;0;1
355;alcool;0;0;0;0;0;0;1;0
356;alcoolisme;0;1;1;1;0;1;1;0
357;alcôve;0;0;0;0;0;0;0;1
358;alentour;0;0;0;0;0;0;0;1
359;alerte;0;1;0;1;1;0;0;1
360;algorithme;0;0;0;0;0;0;0;1
361;algèbre;0;0;0;0;0;0;0;1
362;algébrique;0;0;0;0;0;0;0;1
363;alibi;0;0;0;0;0;0;0;1
364;alignement;0;0;0;0;0;0;0;1
365;aligner;0;0;0;0;0;0;0;1
366;aliment;0;0;0;0;0;0;0;1
367;alimentaire;0;0;0;0;0;0;0;1
368;alimentation;0;0;0;0;0;0;0;1
369;alimenter;0;0;0;0;0;0;0;1
370;alinéa;0;0;0;0;0;0;0;1
371;aliquote;0;0;0;0;0;0;0;1
372;aliénation;0;1;1;1;0;1;1;0
373;aliéner;0;0;1;0;0;1;1;0
374;allaitement;0;0;0;0;0;0;0;1
375;allaiter;0;0;0;0;0;0;0;1
376;allegro;0;0;0;0;0;0;0;1
377;allemand;0;0;0;0;0;0;0;1
378;aller;0;0;0;0;0;0;0;1
379;aller chercher;0;0;0;0;0;0;0;1
380;aller tout vitesse;0;1;0;0;0;0;1;0
381;alliage;0;0;0;0;0;0;0;1
382;alliance;0;0;0;0;0;0;0;1
383;allier;0;0;0;0;0;0;0;1
384;alligator;0;1;0;0;0;0;1;0
385;allocataire;0;0;0;0;0;0;0;1
386;allocation;0;0;0;0;0;0;0;1
387;allocation chômage;0;0;1;0;0;0;1;0
388;allocution;0;0;0;0;0;0;0;1
389;allongement;0;0;0;0;0;0;0;1
390;allonger;0;1;1;1;0;1;1;0
391;allouer;0;0;0;0;0;0;0;1
392;allumage;0;0;0;0;0;0;0;1
393;allumette;0;0;0;0;0;0;0;1
394;allure;0;0;0;0;0;0;0;1
395;allusion;0;1;0;1;1;0;1;0
396;alluvial;0;0;0;0;0;0;0;1
397;alléchant;0;0;0;0;1;0;0;1
398;allécher;0;0;0;0;1;0;0;1
399;allégation;0;0;0;1;0;0;1;0
400;allégeance;0;0;0;0;0;0;0;1
401;allégorie;0;0;0;0;0;0;0;1
402;allégorique;0;0;0;0;0;0;0;1
403;allégresse;1;0;0;0;0;0;0;1
404;alléguer;0;1;0;0;0;1;1;0
405;almanach;0;0;0;0;0;0;0;1
406;aloha;1;0;0;0;0;0;0;1
407;alors;0;0;0;0;0;0;1;0
408;alouette;1;0;0;0;0;0;0;1
409;alphabet;0;0;0;0;0;0;0;1
410;alphabétique;0;0;0;0;0;0;0;1
411;alpiniste;0;0;0;0;0;0;0;1
412;altercation;0;0;0;1;0;0;1;0
413;alternatif;0;0;0;0;0;0;0;1
414;alternative;0;0;0;0;0;0;0;1
415;alterner;0;0;0;0;0;0;0;1
416;altitude;0;0;0;0;0;0;0;1
417;alto;0;0;0;0;0;0;0;1
418;altération;0;0;1;0;0;1;1;0
419;altérer;0;0;1;1;0;1;1;0
420;alvéolaire;0;0;0;0;0;0;0;1
421;alésage;0;1;0;1;0;0;1;0
422;amadouer;0;0;0;0;0;0;0;1
423;amande;0;0;0;0;0;0;0;1
424;amant;0;0;0;0;0;0;0;1
425;amarrage;0;0;0;0;0;0;0;1
426;amarrer;0;0;0;0;0;0;0;1
427;amas;0;0;0;0;0;0;1;0
428;amasser;0;0;0;0;0;0;0;1
429;amateur;0;0;0;0;0;0;1;0
430;amatrice;0;0;0;0;0;0;1;0
431;amatrices;0;0;0;0;0;0;1;0
432;ambassade;0;0;0;0;0;0;0;1
433;ambassadeur;0;0;0;0;0;0;0;1
434;ambassadrice;0;0;0;0;0;0;0;1
435;ambiance;0;0;0;0;0;0;0;1
436;ambiant;0;0;0;0;0;0;0;1
437;ambigu;0;1;0;0;0;0;1;0
438;ambiguë;0;1;0;0;0;0;1;0
439;ambiguïté;0;1;0;0;0;0;1;0
440;ambitieux;0;0;0;0;0;0;0;1
441;ambition;0;0;0;0;0;0;0;1
442;ambre;0;0;0;0;0;0;0;1
443;ambrer;0;0;0;0;0;0;0;1
444;ambulance;0;1;1;0;0;0;1;0
445;amen;0;0;0;0;0;0;0;1
446;amendement;0;0;0;0;0;0;0;1
447;amender;0;0;0;0;0;0;0;1
448;amertume;0;0;1;1;0;1;1;0
449;amertume;0;0;1;1;0;1;1;0
450;ami;0;0;0;0;0;0;0;1
451;amical;0;0;0;0;0;0;0;1
452;amidon;0;0;0;0;0;1;1;0
453;amidonner;0;0;0;0;0;1;1;0
454;amiral;0;0;0;0;0;0;0;1
455;amirauté;0;0;0;0;0;0;0;1
456;amitié;0;0;0;0;0;0;0;1
457;ammoniac;0;0;0;0;0;1;1;0
458;amnistie;1;0;0;0;0;0;0;1
459;amnésie;0;1;1;0;0;0;1;0
460;amoindrir;0;0;1;0;0;0;1;0
461;amorce;0;0;0;0;0;0;0;1
462;amorcer;0;0;0;0;0;0;0;1
463;amorphe;0;0;1;0;0;1;1;0
464;amortir;0;1;0;1;1;0;1;0
465;amortisseur;0;1;0;0;0;0;1;0
466;amorçage;0;0;0;0;0;0;0;1
467;amour;0;0;0;0;0;0;0;1
468;amourette;0;0;0;0;0;0;1;0
469;amoureux;1;0;0;0;0;0;0;1
470;amphibie;0;0;0;0;0;0;0;1
471;amphibien;0;0;0;0;0;1;1;0
472;amphibiens;0;0;0;0;0;1;1;0
473;amphithéâtre;0;0;0;0;0;0;0;1
474;amphétamine;0;0;0;0;0;1;1;0
475;amplement;0;0;0;0;0;0;0;1
476;ampleur;0;0;0;0;0;0;0;1
477;amplification;0;0;0;0;0;0;0;1
478;amplifier;0;0;0;0;0;0;0;1
479;amplitude;0;0;0;0;0;0;0;1
480;amputation;0;1;1;0;0;1;1;0
481;amulette;0;0;0;0;0;0;0;1
482;amusant;1;0;0;0;0;0;0;1
483;amusement;1;0;0;0;0;0;0;1
484;amuser;1;0;0;0;0;0;0;1
485;amuser gueule;0;0;0;0;0;0;0;1
486;amygdale;0;0;0;0;0;1;1;0
487;amèrement;0;0;1;1;0;1;1;0
488;améliorant;0;0;0;0;0;0;0;1
489;amélioration;0;0;0;0;0;0;0;1
490;améliorer;0;0;0;0;0;0;0;1
491;aménagement;0;0;0;0;0;0;0;1
492;aménagement paysager;0;0;0;0;0;0;0;1
493;aménité;0;0;0;0;0;0;0;1
494;améthyste;0;0;0;0;0;0;0;1
495;an;0;0;0;0;0;0;0;1
496;anaconda;0;1;0;0;0;1;1;0
497;anal;0;1;0;0;0;0;1;0
498;analgésique;0;1;0;0;0;0;1;0
499;analogie;0;0;0;0;0;0;0;1
500;analogique;0;0;0;0;0;0;0;1
501;analogue;0;0;0;0;0;0;0;1
502;analphabète;0;0;1;0;0;1;1;0
503;analyse;0;0;0;0;0;0;0;1
504;analyser;0;0;0;0;0;0;0;1
505;analyseur;0;0;0;0;0;0;0;1
506;analyste;0;0;0;0;0;0;0;1
507;analytique;0;0;0;0;0;0;0;1
508;ananas;0;0;0;0;0;0;0;1
509;anarchie;0;1;0;1;0;0;1;0
510;anarchisme;0;1;0;1;0;0;1;0
511;anarchiste;0;1;0;1;0;0;1;0
512;anastomose;0;1;0;0;0;1;1;0
513;anathème;0;1;1;1;0;1;1;0
514;anatomie;0;0;0;0;0;0;0;1
515;anatomique;0;0;0;0;0;0;0;1
516;ancestral;0;0;0;0;0;0;0;1
517;ancien;0;0;0;0;0;0;1;0
518;ancien combattant;0;0;0;0;0;0;0;1
519;ancien élève;0;0;0;0;0;0;0;1
520;ancienneté;0;0;0;0;0;0;0;1
521;ancrage;0;0;1;0;0;0;0;1
522;ancre;0;0;0;0;0;0;0;1
523;ancêtre;0;0;0;0;0;0;0;1
524;anesthésiant;0;1;0;0;0;0;1;0
525;anesthésie;0;1;0;0;0;0;1;0
526;anesthésier;0;1;0;0;0;0;1;0
527;anesthésique;0;1;0;0;0;0;1;0
528;ange;0;0;0;0;1;0;0;1
529;angine;0;1;1;0;0;0;1;0
530;angiographie;0;0;0;0;0;0;0;1
531;angle;0;0;0;0;0;0;0;1
532;angoissant;0;1;1;0;0;0;1;0
533;angoisse;0;1;1;1;0;0;1;0
534;angoisser;0;1;1;0;0;0;1;0
535;anguille;0;1;0;0;0;1;1;0
536;angulaire;0;0;0;0;0;0;0;1
537;anguleux;0;0;0;0;0;0;0;1
538;angélique;0;0;0;0;0;0;0;1
539;anhydre;0;0;0;0;0;0;0;1
540;animal;0;1;0;0;0;1;1;0
541;animal compagnie;0;0;0;0;0;0;1;0
542;animer;1;0;0;0;0;0;0;1
543;animosité;0;1;1;1;0;1;1;0
544;annales;0;0;0;0;0;0;0;1
545;anneau;0;0;0;0;0;0;0;1
546;annexe;0;0;0;0;0;0;0;1
547;annexer;0;0;0;0;0;0;0;1
548;annexion;0;0;0;0;0;0;0;1
549;annihilation;0;1;1;1;0;0;1;0
550;annihiler;0;1;0;1;0;0;1;0
551;anniversaire;0;0;0;0;1;0;0;1
552;annonce;0;0;0;0;0;0;0;1
553;annoncer;0;0;0;0;0;0;0;1
554;annotation;0;0;0;0;0;0;0;1
555;annoter;0;0;0;0;0;0;0;1
556;annuaire;0;0;0;0;0;0;0;1
557;annuel;0;0;0;0;0;0;0;1
558;annulaire;0;0;0;0;0;0;0;1
559;annulation;0;1;1;1;1;0;1;0
560;année;0;0;0;0;0;0;0;1
561;anomalie;0;1;0;0;1;0;1;0
562;anonyme;0;1;1;0;0;1;1;0
563;anormal;0;1;0;1;1;1;1;0
564;anse;0;0;0;0;0;0;0;1
565;antagonisme;0;0;0;1;0;0;1;0
566;antagoniste;0;1;0;1;0;1;1;0
567;antalgique;0;1;0;0;0;0;1;0
568;antenne;0;0;0;0;0;0;0;1
569;anthologie;0;0;0;0;0;0;0;1
570;anthrax;0;1;1;0;0;1;1;0
571;anthropologie;0;0;0;0;0;0;0;1
572;anthropophage;0;1;0;0;0;1;1;0
573;anthropophagie;0;1;0;0;0;1;1;0
574;antibiotique;0;0;0;0;0;0;0;1
575;anticipatif;0;0;0;0;0;0;0;1
576;anticipation;0;0;0;0;0;0;0;1
577;anticiper;0;0;0;0;0;0;0;1
578;antidote;0;0;0;0;0;0;0;1
579;antifongique;0;0;0;0;0;0;0;1
580;antilope;0;0;0;0;0;0;0;1
581;antimoine;0;1;0;0;0;1;1;0
582;antipathie;0;0;0;1;0;1;1;0
583;antipathique;0;0;0;1;0;1;1;0
584;antiquaire;0;0;0;0;0;0;0;1
585;antiquité;0;0;0;0;0;0;0;1
586;antiseptique;0;0;0;0;0;0;0;1
587;antisocial;0;1;1;1;0;1;1;0
588;antithèse;0;0;0;1;0;0;1;0
589;antithétique;0;0;0;0;0;0;1;0
590;antiviral;0;0;0;0;0;0;0;1
591;antéchrist;0;1;0;1;0;1;1;0
592;antécédent;0;0;0;0;0;0;0;1
593;antérieurement;0;0;0;0;0;0;0;1
594;anxieux;0;1;0;0;0;0;1;0
595;anxiété;0;1;1;1;0;0;1;0
596;anéantir;0;1;1;1;0;0;1;0
597;anéantissement;0;1;1;1;0;0;1;0
598;anémone;0;0;0;0;0;0;0;1
599;aorte;0;0;0;0;0;0;0;1
600;aoã»t;1;0;0;0;0;0;0;1
601;apache;0;1;0;0;0;0;1;0
602;apaisant;0;0;0;0;0;0;0;1
603;apaiser;0;0;0;0;0;0;0;1
604;apathie;0;0;1;0;0;0;1;0
605;apathique;0;1;1;0;0;0;1;0
606;apercevoir;0;0;0;0;0;0;0;1
607;apesanteur;0;0;0;0;0;0;0;1
608;aphone;0;1;1;0;1;0;1;0
609;aplanir;0;0;0;0;0;0;1;0
610;aplatir;0;0;0;0;0;0;1;0
611;aplomb;0;0;0;0;0;0;0;1
612;apocalyptique;0;1;1;0;0;0;1;0
613;apogée;0;0;0;0;1;0;0;1
